buy_month	sell_month	pints_purchased	expected_profit
2025-01	2025-02	0	0.0
2025-01	2025-03	0	0.0
2025-01	2025-04	0	0.0
2025-01	2025-05	0	0.0
2025-01	2025-06	0	0.0
2025-01	2025-07	0	0.0
2025-01	2025-08	0	0.0
2025-01	2025-09	0	0.0
2025-01	2025-10	0	0.0
2025-01	2025-11	0	0.0
2025-01	2025-12	0	0.0
2025-02	2025-03	0	0.0
2025-02	2025-04	0	0.0
2025-02	2025-05	0	0.0
2025-02	2025-06	0	0.0
2025-02	2025-07	0	0.0
2025-02	2025-08	0	0.0
2025-02	2025-09	0	0.0
2025-02	2025-10	0	0.0
2025-02	2025-11	0	0.0
2025-02	2025-12	0	0.0
2025-03	2025-04	0	0.0
2025-03	2025-05	0	0.0
2025-03	2025-06	0	0.0
2025-03	2025-07	0	0.0
2025-03	2025-08	0	0.0
2025-03	2025-09	0	0.0
2025-03	2025-10	0	0.0
2025-03	2025-11	0	0.0
2025-03	2025-12	0	0.0
2025-04	2025-05	0	0.0
2025-04	2025-06	0	0.0
2025-04	2025-07	0	0.0
2025-04	2025-08	0	0.0
2025-04	2025-09	0	0.0
2025-04	2025-10	0	0.0
2025-04	2025-11	0	0.0
2025-04	2025-12	0	0.0
2025-05	2025-06	0	0.0
2025-05	2025-07	0	0.0
2025-05	2025-08	0	0.0
2025-05	2025-09	0	0.0
2025-05	2025-10	0	0.0
2025-05	2025-11	0	0.0
2025-05	2025-12	0	0.0
2025-06	2025-07	0	0.0
2025-06	2025-08	0	0.0
2025-06	2025-09	0	0.0
2025-06	2025-10	0	0.0
2025-06	2025-11	0	0.0
2025-06	2025-12	259333	55810.832109549694
2025-07	2025-08	0	0.0
2025-07	2025-09	0	0.0
2025-07	2025-10	0	0.0
2025-07	2025-11	277045	35939.947131989866
2025-07	2025-12	269577	97515.03198863937
2025-08	2025-09	0	0.0
2025-08	2025-10	0	0.0
2025-08	2025-11	0	0.0
2025-08	2025-12	258849	53838.32705125204
2025-09	2025-10	0	0.0
2025-09	2025-11	0	0.0
2025-09	2025-12	256418	43942.15953178114
2025-10	2025-11	0	0.0
2025-10	2025-12	246125	2038.3023237345983
2025-11	2025-12	0	0.0
