recipe_slug	score_estimate
almond-chip-cookies	0.5172805950488862
almond-croissants	0.36573594317637936
apple-crisp	0.8250833706329548
apple-crumble	0.7467117209904603
apple-pie	0.4234264864900742
asparagus-burger	0.006999931245810262
asparagus-quiche	0.028009433314297692
bacon-and-egg-breakfast-sandwich	0.9344059774979453
bacon-chocolate-chip-cookies	1.0225151891436517
bacon-egg-muffins	0.9371268124682341
bacon-fried-rice	0.9891833277433805
bacon-mac-and-cheese	0.9663054448359527
bacon-souffle	0.9012309468995596
bacon-wrapped-asparagus	0.9514191767438707
bacon-wrapped-chicken	0.9897195613138212
bacon-wrapped-dates	0.9929467783862151
bacon-wrapped-scallops	0.9962236320841256
bacon-wrapped-shrimp-skewers	0.9624501335938845
berry-crisp	0.800915952342778
berry-crumble	0.7543367930186278
blueberry-crisp	0.7888043778925038
blueberry-crumble	0.753238963632088
bolognese-sauce	0.40755348983675044
breakfast-burritos	0.5872859518644857
brioche-bread	0.5055757089038296
brioche-bread-with-chocolate	0.5702191795496426
brownies	0.9110271454021548
burritos	0.4687503187425753
butter-croissants	0.41582838544063583
cherry-cobbler	0.741234529064062
cherry-pie	0.6014801516012483
chicken-alfredo-lasagna	0.5245073614965328
chicken-fingers	0.7218517078170118
chicken-nuggets	0.703427785365978
chiles-rellenos	0.4060940798791182
chocolate-babka	0.8417750098187935
chocolate-cake	0.8590795623877192
chocolate-croissants	0.8501791707544946
chocolate-peanut-butter-cake	0.8855683762397392
chocolate-souffle	0.8259717893207686
cinnamon-babka	0.5173398694733936
classic-beef-lasagna	0.5295401660627663
cold-noodles-with-tomatoes	0.3482803666271179
cold-sesame-noodles	0.5156440123848302
cold-soba-noodles-with-tomato-and-cucumber	0.4183652310367485
cranberry-apple-crisp	0.7396414616902499
cranberry-relish	0.4293062645167843
cranberry-sauce	0.34970101029178574
croissant-aux-amandes	0.37035622604223817
croissants	0.4837571905175725
dan-dan-noodles	0.41003294493669906
danishes	0.5515501524142035
enchiladas	0.3537167663036167
fajitas	0.5025899176497035
falafel	0.07819905289797305
french-toast	0.6527529662460735
fried-oysters	0.6717430520553851
guacamole	0.5319875852688345
lasagna	0.5143304821889588
loaded-nachos	0.5883033118153148
ma-la-beef	0.5516414652935867
ma-la-chicken	0.37135424823837937
maple-bacon-donuts	0.9858519578343333
maple-bacon-pancakes	0.9443086577353025
mushroom-quiche	0.5101876677925323
nacho-casserole	0.6361963474286843
nacho-dip	0.6090337425023762
nacho-fries	0.6433531136419537
nacho-salad	0.6803509340958152
nachos	0.6095229625529879
pain-au-chocolat	0.8918917406435245
pasta-primavera	0.4807391274922389
peach-cobbler	0.744665549161707
peach-crisp	0.7973751729378901
peanut-butter-brownies	0.836255332402047
peanut-butter-cupcakes	0.49188223367387496
pickled-asparagus	0.08831793419799258
pickled-green-beans	0.06480569457663775
pico-de-gallo	0.31953495871413595
quesadillas	0.5955752263631973
quiche-lorraine	0.4053110917395121
ramen	0.5502797070408709
soba-noodle-salad-with-peanut-dressing	0.4108904279594916
souffle	0.3835161153793078
spam-musubi	0.48861931626863175
spamburger	0.42275813904300263
spinach-and-feta-quiche	0.04197718734911045
spinach-and-ricotta-lasagna	0.0196268181322444
spinach-and-ricotta-stuffed-shells	0.10393528608949834
spinach-quiche	0.07235447250252589
strawberry-rhubarb-crisp	0.756061577682258
sujebi	0.4961847490369228
taco-salad	0.47410460177978336
tacos	0.3523502670713097
tamales	0.3434264482405438
tempura-udon	0.48034322374174654
udon	0.41345491356978276
vanilla-souffle	0.5162961677793412
vegetable-lasagna	0.06425808421533027
vegetarian-mushroom-lasagna	0.10425547564556342
