recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.7570733841173264
ma-la-chicken	7.243060337213783	0.3513084263625138
quesadillas	7.209818500290595	0.5967235593884929
ramen	7.222358660491911	0.5694913230147965
chocolate-babka	6.98048632996479	0.852636419304437
pain-au-chocolat	7.007637647221649	0.9303758887313138
spamburger	7.019395482047177	0.4102210090924267
bacon-fried-rice	6.977466875100741	1.0
nacho-fries	6.810237120263522	0.6532501955279545
cranberry-relish	6.756949768764822	0.4561892132925877
asparagus-quiche	6.674653569019225	0.0
strawberry-rhubarb-crisp	6.497652079427984	0.7623533985934317
guacamole	6.482982782814195	0.572634357082147
apple-pie	6.398641128156663	0.3956973914915922
bacon-wrapped-asparagus	6.327856687246959	1.0
cold-noodles-with-tomatoes	6.305698582995055	0.335741829351045
asparagus-burger	6.253256886986852	0.0
bacon-wrapped-chicken	6.252634676658499	1.0
brioche-bread	6.264040960556226	0.5449602542381553
tamales	6.177393224653339	0.3142414773926418
apple-crisp	6.13452663287781	0.8213180122416399
dan-dan-noodles	6.070557677632857	0.4009170800854797
mushroom-quiche	5.963718091007144	0.576167841016761
bacon-mac-and-cheese	5.964911688821966	1.0
taco-salad	5.954954231272667	0.4672363113611341
chicken-nuggets	5.868878731928367	0.7369103411284214
croissants	5.801603947383293	0.4538723877798131
bacon-wrapped-shrimp-skewers	5.7386456202814085	1.0
fajitas	5.728869238397252	0.5014166168034322
spam-musubi	5.723449120831372	0.5149689130168068
breakfast-burritos	5.607191778997393	0.5488367182764
tacos	5.592781736278749	0.3229788660469978
sujebi	5.590398483380894	0.4572110995650741
chocolate-peanut-butter-cake	5.558016031074281	0.9174579008645816
croissant-aux-amandes	5.5332265332618125	0.3625118529505146
cranberry-apple-crisp	5.446216325628583	0.7552096183383036
quiche-lorraine	5.353152124418139	0.3018252738028541
nacho-salad	5.351998707232387	0.6803910652264064
nachos	5.285464855106119	0.6432913293646508
brownies	5.248441030901332	0.9044247307182486
danishes	5.233954899199645	0.5341759127955852
spinach-and-ricotta-lasagna	5.1926635073575635	0.0
souffle	5.171673547063884	0.3352910029927836
enchiladas	5.158472541933992	0.3169663004483111
bacon-wrapped-scallops	5.155839777392666	1.0
peach-crisp	5.056380105447013	0.8077582402129638
soba-noodle-salad-with-peanut-dressing	5.040534866143687	0.4183558378054364
loaded-nachos	5.036606929550814	0.6033374226578825
vanilla-souffle	5.010475694075232	0.4897634270394702
peanut-butter-cupcakes	4.88748575162296	0.4395244595440561
bacon-egg-muffins	4.851333913167755	1.0
maple-bacon-donuts	4.841734405388306	1.0
cherry-pie	4.8328752947085425	0.5773530825738606
chicken-fingers	4.820937181709201	0.7546291857759786
brioche-bread-with-chocolate	4.802196028521703	0.4759622779617987
pickled-green-beans	4.776316955390826	0.0
ma-la-beef	4.7257352167128674	0.5930724912780388
bacon-wrapped-dates	4.7192147183878985	1.0
falafel	4.695636308280133	0.0
burritos	4.6772676242754505	0.4452847977548549
bacon-and-egg-breakfast-sandwich	4.661818197451985	1.0
tempura-udon	4.64569151180523	0.4979588541102493
chiles-rellenos	4.570284248110175	0.3811294253292135
bolognese-sauce	4.569401233879726	0.4118142258560264
bacon-chocolate-chip-cookies	4.559638923884388	1.0
spinach-and-feta-quiche	4.51292029504923	0.0
cranberry-sauce	4.490542769315454	0.3367813319550899
cold-sesame-noodles	4.483423624595471	0.5791968445990174
maple-bacon-pancakes	4.45085671065811	1.0
chicken-alfredo-lasagna	4.452318093740064	0.5830498611622421
fried-oysters	4.391714664389514	0.7280211823323333
peach-cobbler	4.367668496212368	0.7809497044924205
almond-croissants	4.346295164193483	0.3352639982956995
berry-crisp	4.318207221928297	0.7607961344857904
cold-soba-noodles-with-tomato-and-cucumber	4.304617908985995	0.4489963142279463
udon	4.2617067423674495	0.418830002541223
nacho-casserole	4.230418183175707	0.6672952762407858
nacho-dip	4.094785820816301	0.6353822360417849
pico-de-gallo	4.086772012266881	0.3395253685766982
almond-chip-cookies	4.067807904961304	0.5089461599013702
classic-beef-lasagna	4.015380591867674	0.5963163854482555
pickled-asparagus	4.014841207647826	0.0
french-toast	3.9948660993922633	0.7081071728331201
spinach-quiche	3.964176676724765	0.0
chocolate-cake	3.8992900460126325	0.8801493452128567
chocolate-croissants	3.830680792439824	0.931833730335411
lasagna	3.8169267676610525	0.5428981577643934
blueberry-crumble	3.776283216113632	0.7883642161790592
cherry-cobbler	3.7004097101545597	0.7871767619414856
pasta-primavera	3.6820152670741297	0.6159112256657387
peanut-butter-brownies	3.6743380183343883	0.8723926539593383
blueberry-crisp	3.440918039594578	0.809212331772058
cinnamon-babka	3.2742400317947267	0.546282752626763
vegetarian-mushroom-lasagna	3.2369121053570002	0.0
bacon-souffle	3.163753645314412	1.0
chocolate-souffle	3.1446268143753784	0.9105830797595008
berry-crumble	2.984868671687753	0.7825664976112949
spinach-and-ricotta-stuffed-shells	2.9685764525204754	0.0
bacon-fried-rice	2.854012141053369	1.0
butter-croissants	2.8357697730552855	0.3603919977845359
